id,chr,pos,trait1_lod,trait2_lod,trait3_lod
Chr1_592939,1,0,0.698627216,0.003503498,0.029809107
Chr1_955381,1,2.160850238,0.904775864,0.046178471,0.003081961
Chr1_1144061,1,2.57120927,0.823334631,0.059861853,0.012492875
Chr1_1219320,1,3.40021196,0.555074617,0.029356311,0.043265796
Chr1_1893921,1,4.690016517,0.295493425,0.004005302,0.083346254
Chr1_2211523,1,5.968460741,0.326657549,0.000102584,0.051168038
Chr1_2991899,1,6.815030205,0.459756617,0.006213593,0.042763416
Chr1_3599170,1,8.597230205,0.537117796,0.136300864,0.018659865
Chr1_4035878,1,9.833841781,0.445431325,0.00903902,0.028739685
Chr1_4175763,1,11.49582033,0.092836532,0.001480479,0.097240606
Chr1_4475235,1,12.05111394,0.199569562,0.007603141,0.130251696
Chr1_4823132,1,13.47059499,0.030669214,0.000152136,0.162008369
Chr1_6371237,1,15.8212531,0.093092056,0.038604375,0.002176314
Chr1_6679833,1,18.06653694,0.011976146,0.049875201,0.026363532
Chr1_7593633,1,20.08281862,0.003634358,0.042252934,0.060522383
Chr1_8196107,1,22.75811076,0.091624879,0.000515363,0.006848487
Chr1_8385017,1,24.04152036,0.052642399,0.019607417,0.036694044
Chr1_8404384,1,24.99380226,0.054824294,0.002295911,0.011130145
Chr1_8635637,1,27.46002582,0.028630817,0.034621585,0.00578481
Chr1_8898659,1,28.32279769,0.001415728,0.059676044,0.000665034
Chr1_9301299,1,29.63157949,0.028778656,0.000908492,0.017286202
Chr1_9528252,1,30.04613792,0.252139159,0.051874129,0.137906009
Chr1_9781637,1,30.42925152,0.1051022,0.034724891,0.086502384
Chr1_10390333,1,33.39049818,0.074681099,0.096480103,0.42088362
Chr1_11264443,1,37.69724395,0.466158778,0.413495541,0.118326225
Chr1_11432078,1,38.17994302,0.01547186,0.325632912,0.004134156
Chr1_11673156,1,38.55453214,0.307343142,0.236089995,0.005526944
Chr1_12014244,1,39.68633301,0.530594647,0.26337784,0.095869376
Chr1_12154388,1,40.63423689,0.704546969,0.455381925,0.227828644
Chr1_13054815,1,45.55058329,0.344541474,0.002887426,0.1219011
Chr1_13493178,1,46.73990298,0.106706993,0.022600593,0.095497212
Chr1_13691436,1,47.13066925,0.552223804,0.10480404,0.225678927
Chr1_16872100,1,47.9141873,0.576058431,0.269716441,0.470683513
Chr1_17122035,1,48.69623318,0.679028931,0.383548797,0.523958038
Chr1_17255200,1,49.63888826,0.971598192,0.273060673,0.344968858
Chr1_17454051,1,52.30188171,1.09370334,0.361408696,0.805492393
Chr1_18429702,1,53.39502275,1.585038173,0.356915179,0.787663833
Chr1_19059902,1,54.24114533,1.307822101,0.152590802,0.467386103
Chr1_19149932,1,54.65882489,1.379936725,0.317714005,0.518257139
Chr1_19473949,1,55.07644484,1.465151603,0.564994186,0.859737025
Chr1_20199583,1,59.16220347,1.924243907,1.057719357,0.841459551
Chr1_20420749,1,59.95910035,2.290795055,1.587670828,1.134415411
Chr1_20711571,1,60.75157765,1.910782375,0.536875394,0.34024114
Chr1_21132535,1,61.50570887,2.784485668,1.231364052,0.860480395
Chr1_21309864,1,61.87829283,2.82473064,0.739060242,0.815607713
Chr1_21851195,1,62.25119827,2.620305327,1.213044089,0.838955347
Chr1_21920673,1,62.7483401,2.49322626,1.086732227,0.692622226
Chr1_22243116,1,63.75556181,3.424524706,1.458569856,0.985923223
Chr1_22335685,1,64.12715529,3.476004132,1.641363829,0.919530154
Chr1_22526703,1,64.59097803,3.454866451,1.530426823,0.958462552
Chr1_23181209,1,66.01536607,3.130270882,1.486773611,0.714777697
Chr1_23377804,1,66.76462766,2.301132637,1.266931955,0.862559717
Chr1_23618731,1,67.51394264,1.754998106,1.165077356,0.920946187
Chr1_23677218,1,68.26160023,1.146123168,0.578249645,0.518712484
Chr1_23739594,1,68.65904594,1.146449137,0.909102596,0.624983897
Chr1_23887804,1,69.46117527,0.918335384,0.502276547,0.396300182
Chr1_23961525,1,70.26382474,1.081436377,1.638849241,0.954194878
Chr1_24018229,1,70.66100855,1.759571956,1.952053638,1.612627188
Chr1_24131937,1,71.05824975,1.182414848,1.273188601,0.867460628
Chr1_24189938,1,71.4555984,1.154240555,1.592175492,1.066746857
Chr1_24687117,1,73.94309424,0.920361755,1.714398594,1.287138757
Chr1_24720378,1,74.31360837,1.06151211,1.923012315,1.396605194
Chr1_24791503,1,75.44161596,1.122348516,1.537485706,1.304534655
Chr1_25190322,1,76.25003686,1.0800763,0.797324395,0.855327652
Chr1_25452041,1,77.33603872,0.942622538,1.369023308,2.121521162
Chr1_25501518,1,77.87182691,0.642283769,1.382079972,1.731910732
Chr1_25535117,1,78.35134999,0.286210393,1.227065679,1.540257206
Chr1_25694302,1,80.33827815,0.751788739,0.941931854,1.502097335
Chr1_25909747,1,80.73825347,0.736435986,0.758418406,1.289027013
Chr1_26488015,1,82.70165834,0.5165705,0.337896591,0.52512345
Chr1_26989349,1,84.25864966,0.359209469,0.120263529,0.367972746
Chr1_27287268,1,85.2811864,0.415290321,0.194747505,0.768644611
Chr1_27349872,1,85.84601627,0.14352665,0.000405064,0.197647811
Chr1_27641027,1,86.41148172,0.333853719,0.00049123,0.189207611
Chr1_28021657,1,86.97601803,0.065873526,0.000270331,0.047875065
Chr1_28297681,1,87.37471819,0.02163384,0.099194003,0.010736132
Chr1_28450722,1,89.01199643,0.017762032,0.155292538,0.017602239
Chr1_29705440,1,96.77345016,0.268386695,0.001653357,0.024648316
Chr2_173430,2,0,0.063846143,0.154558999,0.553353349
Chr2_457500,2,3.421152591,0.183890035,0.157695861,0.694251107
Chr2_586246,2,3.927482331,0.184241321,0.139069048,0.439470773
