"chr","bin.start","bin.end","tx_name"
"A01",3188282,3379775,"Bra011230"
"A01",3188282,3379775,"Bra011228"
"A01",3188282,3379775,"Bra011227"
"A01",3188282,3379775,"Bra100030"
"A01",3188282,3379775,"Bra011226"
"A01",3188282,3379775,"Bra100031"
"A01",3188282,3379775,"Bra011222"
"A01",3188282,3379775,"Bra011220"
"A01",3188282,3379775,"Bra011219"
"A01",3188282,3379775,"Bra011218"
"A01",3188282,3379775,"Bra011216"
"A01",3188282,3379775,"Bra011215"
"A01",3188282,3379775,"Bra011213"
"A01",3188282,3379775,"Bra011212"
"A01",3188282,3379775,"Bra011211"
"A01",3188282,3379775,"Bra011206"
"A01",3188282,3379775,"Bra011203"
"A01",3188282,3379775,"Bra011202"
"A01",3188282,3379775,"Bra011200"
"A01",3188282,3379775,"Bra011199"
"A01",3423574,3469723,"Bra011186"
"A01",3423574,3469723,"Bra011184"
"A01",3423574,3469723,"Bra011182"
"A01",3423574,3469723,"Bra011180_Bra011181"
"A01",3423574,3469723,"Bra011179"
"A01",3423574,3469723,"Bra011178"
"A01",3470435,3554160,"Bra011177"
"A01",3470435,3554160,"Bra011176"
"A01",3470435,3554160,"Bra011173"
"A01",3470435,3554160,"Bra011172"
"A01",3554340,3599730,"Bra011165"
"A01",3554340,3599730,"Bra011164"
"A01",3554340,3599730,"Bra011163"
"A01",3554340,3599730,"Bra011162"
"A01",3554340,3599730,"Bra011161"
"A01",3621755,3628191,"Bra011157"
"A01",3621755,3628191,"Bra011156"
"A01",3621755,3628191,"Bra011155"
"A01",3642734,3707633,"Bra011153"
"A01",3642734,3707633,"Bra011150"
"A01",3642734,3707633,"Bra011148"
"A01",3642734,3707633,"Bra011146"
"A01",3642734,3707633,"Bra011145"
"A01",3642734,3707633,"Bra011144"
"A01",3642734,3707633,"Bra011142"
"A01",3741327,3812770,"Bra011134"
"A01",3741327,3812770,"Bra011133"
"A01",3741327,3812770,"Bra011132"
"A01",3741327,3812770,"Bra100037"
"A01",3741327,3812770,"Bra011129_Bra011130"
"A01",3741327,3812770,"Bra011128"
"A01",3741327,3812770,"Bra011127"
"A01",3741327,3812770,"Bra011126"
"A01",3741327,3812770,"Bra011125"
"A01",3741327,3812770,"Bra011122"
"A01",3813012,4046227,"Bra011119"
"A01",3813012,4046227,"Bra011116"
"A01",3813012,4046227,"Bra011113"
"A01",3813012,4046227,"Bra011112"
"A01",3813012,4046227,"Bra011111"
"A01",3813012,4046227,"Bra011110"
"A01",3813012,4046227,"Bra011109"
"A01",3813012,4046227,"Bra011107"
"A01",3813012,4046227,"Bra011106"
"A01",3813012,4046227,"Bra011100"
"A01",3813012,4046227,"Bra011096"
"A01",3813012,4046227,"Bra011095"
"A01",3813012,4046227,"Bra011094"
