"chr","pos","lod"
"A01x3323536","A01",0,0.106540952585121
"A01x3444783","A01",0.382748282,0.0871310049281249
"A01x3521294","A01",1.209655882,0.168540771054154
"A01x3554609","A01",1.617615438,0.0808397762902331
"A01x3621755","A01",2.025785306,0.0838162898149761
"A01x3679842","A01",2.433744862,0.0620924706223889
"A01x3777620","A01",3.260652356,0.0425682917590393
"A01x3965850","A01",3.668611911,0.13629178143438
"A01x4058373","A01",4.07678178,0.116710150818051
"A01x4084209","A01",4.484741336,0.0706378035919641
"A01x4089374","A01",5.311648831,0.0605644551148004
"A01x4171301","A01",5.719398203,0.0998499752794118
"A01x4278768","A01",6.546256998,0.0060950551460337
"A01x4345449","A01",6.546258048,0.0060950504797006
"A01x4397470","A01",7.801819651,0.000196431022487786
"A01x4462042","A01",7.801820701,0.000196426177026865
"A01x4585914","A01",8.209861661,0.000850120509028329
"A01x4740822","A01",9.036555325,0.00629162238654146
"A01x5199811","A01",9.863511904,0.000241396394699223
"A01x4904430","A01",9.863512954,0.000241385588296339
"A01x5019810","A01",10.27098318,0.0144745357335978
"A01x5113626","A01",10.6785139,0.0491368091478819
"A01x5293065","A01",11.52947396,0.0310883226977978
"A01x5480608","A01",11.94945162,0.0625811566794994
"A01x5687723","A01",12.36942888,0.0328255416733327
"A01x5810657","A01",13.22116633,0.00452977547399769
"A01x5827724","A01",13.64070621,0.0333259647071742
"A01x5888829","A01",14.93468985,0.128296170798464
"A01x5919321","A01",16.68324108,0.203413392779012
"A01x5943430","A01",17.97722472,0.153540038282927
"A01x5997366","A01",18.39698132,0.108018107435143
"A01x6159390","A01",18.81710821,0.0583315640436837
"A01x6198147","A01",19.66909236,0.022245491093372
"A01x6203833","A01",20.0892191,0.0353043779931852
"A01x6292908","A01",20.50956268,0.0530488261848205
"A01x6367043","A01",20.92990641,0.0802961679654857
"A01x6378372","A01",21.3501004,0.100546145334675
"A01x6465169","A01",21.77007767,0.110697750704929
"A01x6568062","A01",22.62181512,0.213315128510374
"A01x6758563","A01",23.04179238,0.484117971834308
"A01x6889347","A01",23.46198645,0.491486765394328
"A01x6941758","A01",23.88218052,0.776279365678079
"A01x7228007","A01",24.30237459,0.710738446491959
"A01x7382304","A01",24.72256866,0.784582164877961
"A01x7489607","A01",25.14276273,0.882057367539346
"A01x7657237","A01",25.56296907,0.972315448623633
"A01x7722631","A01",25.97113287,1.05511389341689
"A01x7876881","A01",26.37927965,0.867604310572389
"A01x7975940","A01",26.83321867,0.86925849343713
"A01x8029418","A01",27.28663362,0.803021111009215
"A01x8047577","A01",28.69036822,0.826725635536718
"A01x8057967","A01",29.14378319,0.572407157558359
"A01x8186237","A01",29.59767357,0.877711942261428
"A01x8348377","A01",30.05156394,0.693710015891227
"A01x8409488","A01",30.50529205,0.702060356136499
"A01x8479578","A01",31.33196221,0.670183737612518
"A01x8682528","A01",32.15844197,0.470966632431271
"A01x9014557","A01",32.9851356,0.405718120981788
"A01x9047566","A01",33.39309516,0.316136730040768
"A01x9090747","A01",33.80126503,0.461094049508418
"A01x9141005","A01",34.2094349,0.504331430529703
"A01x9154927","A01",34.61760476,0.47078322334086
"A01x9187356","A01",35.02556432,0.522466539382592
"A01x9265177","A01",35.85247181,0.296204017948483
"A01x9281217","A01",36.26022106,0.31845941269296
"A01x9400632","A01",37.08712855,0.206220005437729
"A01x9478996","A01",37.49508811,0.096549407811068
"A01x9511676","A01",37.90325798,0.122134609822453
"A01x9621651","A01",38.31121753,0.122137792948095
"A01x9710442","A01",39.13812503,0.105972604872562
"A01x9787957","A01",39.54608458,0.0569249439354564
"A01x9861110","A01",39.95425367,0.0427935886909694
"A01x9927004","A01",40.36242354,0.00814340351908527
"A01x10008696","A01",40.77059341,0.00687384915339351
"A01x10040274","A01",41.17876249,0.0130738107966977
"A01x10144579","A01",41.58693236,0.00645742259881388
"A01x10233513","A01",41.99510223,0.0315530127569872
"A01x10719350","A01",42.40327209,0.00050119301890561
"A01x10838067","A01",42.81144196,0.000220476858544316
"A01x10963079","A01",43.21961183,0.00214594637746757
"A01x11244488","A01",43.62778169,0.00466622021048124
"A01x11526406","A01",44.03595156,0.000250209279244018
"A01x11665796","A01",44.44412143,0.0260097914539301
"A01x12003346","A01",44.85229129,0.0277367899580554
"A01x15217732","A01",45.26046116,0.012025656269671
"A01x14683131","A01",45.66863103,0.0190885287975959
"A01x14360906","A01",46.0768009,0.0236844580529834
"A01x13378079","A01",46.48497076,0.00387981289706829
"A01x16742310","A01",46.89314063,0.00103690508385057
"A01x17028968","A01",47.30110019,0.00158094015544918
"A01x17440237","A01",48.12800768,0.00354998620602487
"A01x18051812","A01",48.53596724,0.0160266327752936
"A01x19020630","A01",48.94392679,0.00533169989068938
"A01x19421288","A01",49.77083429,0.000556257258665482
"A01x19476460","A01",50.17836974,0.000255446487926747
"A01x19922395","A01",51.4345758,0.00179194618142731
"A01x20113692","A01",51.84211125,0.012422309880975
"A01x20145709","A01",52.66901882,0.00659245739109338
"A01x20481091","A01",53.07703167,0.0307040402641405
"A01x20319892","A01",53.07703272,0.0307040061605477
"A01x20606065","A01",53.90377593,0.0082239838941689
"A01x20778084","A01",54.31173567,0.00822873857974571
"A01x20884338","A01",54.71990554,0.049297423609957
"A01x20960512","A01",55.12807541,0.0632912279676106
"A01x21149541","A01",55.53624509,0.233229457132126
"A01x21267732","A01",55.94441496,0.180087478542234
"A01x21367330","A01",56.35194335,0.127978596755611
"A01x21881895","A01",58.04842997,0.0769876505307678
"A01x21930925","A01",58.45595837,0.0994145707941527
"A01x22004672","A01",58.86412824,0.171352041265195
"A01x22115541","A01",59.27187401,0.12858767795899
"A01x22156290","A01",60.52741645,0.136117923106482
"A01x22250566","A01",62.22345674,0.0846861240398766
"A01x22496994","A01",62.63098514,0.243095567515752
"A01x22640794","A01",63.03915501,0.235611151086403
"A01x22648970","A01",63.44732488,0.205771206591976
