marker,chr,pos,trait1,trait2,trait3,trait4,trait5
A01x3323536,A01,0,0.144475602,0.822374815,0.214471221,0.072836619,0.000257034
A01x3444783,A01,0.382748282,0.087053832,0.961440551,0.150187712,0.108574969,0.000345705
A01x3521294,A01,1.209655882,0.262454725,0.59382299,0.026868529,0.055229725,5.22E-05
A01x3554609,A01,1.617615438,0.212608221,0.567851895,0.008953248,0.118507266,0.007136084
A01x3621755,A01,2.025785306,0.153222837,0.456692285,1.15E-05,0.165998341,0.000214665
A01x3679842,A01,2.433744862,0.129937266,0.451962327,0.004330381,0.185788901,0.00706154
A01x3777620,A01,3.260652356,0.238461634,0.198434212,0.018068545,0.101684226,0.014449139
A01x3965850,A01,3.668611911,0.273859702,0.141572716,0.000196424,0.055264981,0.025692022
A01x4058373,A01,4.07678178,0.199490253,0.220402096,0.015808696,0.040212961,0.00284787
A01x4084209,A01,4.484741336,0.268304939,0.167476144,9.89E-05,0.128168205,0.04247085
A01x4089374,A01,5.311648831,0.208768538,0.231963167,0.0056426,0.127243626,0.004787438
A01x4171301,A01,5.719398203,0.165059846,0.321520029,0.001070254,0.044174164,0.001564651
A01x4278768,A01,6.546256998,0.07349324,0.194444513,0.005401993,0.010762543,0.007537018
A01x4345449,A01,6.546258048,0.073493339,0.194444547,0.005402022,0.010762591,0.007537046
A01x4397470,A01,7.801819651,0.203223877,0.469933614,0.000221137,0.018499156,0.013084655
A01x4462042,A01,7.801820701,0.203223754,0.469933756,0.000221136,0.018499312,0.013084778
A01x4585914,A01,8.209861661,0.237329694,0.430231999,0.002186457,0.002556762,0.023788225
A01x4740822,A01,9.036555325,0.087853537,0.660730804,0.005795547,0.007363444,0.007507073
A01x5199811,A01,9.863511904,0.190076302,0.598469126,0.047973933,0.004450193,0.00107368
A01x4904430,A01,9.863512954,0.19007628,0.598469515,0.047974132,0.004450238,0.001073687
A01x5019810,A01,10.27098318,0.209671398,0.58503547,0.065454643,0.001394698,0.002374499
A01x5113626,A01,10.6785139,0.216419101,0.463427538,0.013088473,0.003884107,0.000409476
A01x5293065,A01,11.52947396,0.165408661,0.526180149,0.000211224,0.051743291,0.00161484
A01x5480608,A01,11.94945162,0.085620891,0.407017379,0.025605445,0.077931009,0.009733525
A01x5687723,A01,12.36942888,0.093045302,0.334208515,0.102401308,0.062688584,0.012901394
A01x5810657,A01,13.22116633,0.059017037,0.488387338,0.191256404,0.052115184,0.014952237
A01x5827724,A01,13.64070621,0.070187465,0.480989422,0.224680375,0.068635656,0.011810796
A01x5888829,A01,14.93468985,0.05207955,0.27897709,0.114631553,0.151222519,0.2583273
A01x5919321,A01,16.68324108,0.019467955,0.068014303,0.002852526,0.181020567,0.192728278
A01x5943430,A01,17.97722472,0.000522932,0.032218939,0.001369876,0.296643623,0.325291915
A01x5997366,A01,18.39698132,0.026448589,0.011387982,0.001109711,0.476302587,0.252336064
A01x6159390,A01,18.81710821,0.016814765,0.036693592,1.74E-06,0.638999024,0.411593994
A01x6198147,A01,19.66909236,0.026708441,0.025867099,0.061448765,0.730781576,0.547951665
A01x6203833,A01,20.0892191,0.012848771,0.02084478,0.044348064,0.710606483,0.808874901
A01x6292908,A01,20.50956268,0.065162223,0.007390092,0.030104036,0.630177716,0.949920898
A01x6367043,A01,20.92990641,0.047478189,9.78E-05,0.044737561,0.51015314,0.918950192
A01x6378372,A01,21.3501004,0.019781451,0.00659164,0.00991732,0.467223937,0.726042981
A01x6465169,A01,21.77007767,0.003745711,0.000360542,6.70E-06,0.255492122,0.64757791
A01x6568062,A01,22.62181512,0.076109414,0.014309939,0.008618651,0.192169948,0.685358646
A01x6758563,A01,23.04179238,0.03476271,0.014028045,0.004343833,0.182954426,0.605365871
A01x6889347,A01,23.46198645,0.015367959,0.004991613,0.000188164,0.245153331,0.529115327
A01x6941758,A01,23.88218052,0.002404933,0.001559598,0.007519955,0.264525948,0.396916064
A01x7228007,A01,24.30237459,0.03667018,0.001744661,0.007427109,0.458100238,0.350333006
A01x7382304,A01,24.72256866,0.025616938,0.001253149,0.000248674,0.493871936,0.480636889
A01x7489607,A01,25.14276273,0.052572528,0.000772531,6.76E-05,0.338419549,0.402049311
A01x7657237,A01,25.56296907,0.025337546,0.001594356,2.63E-07,0.394841365,0.335473739
A01x7722631,A01,25.97113287,0.000294054,0.001904549,3.06E-08,0.220855635,0.382655335
A01x7876881,A01,26.37927965,0.002535143,0.005833375,0.019280398,0.207235779,0.2641497
A01x7975940,A01,26.83321867,0.011741816,0.000214058,0.045252603,0.223992402,0.255966112
