"chr","pos","lod"
"A01x3323536","A01",0,1.19468289199176e-05
"A01x3444783","A01",0.382748282,0.00370574028826809
"A01x3521294","A01",1.209655882,0.0112154822698187
"A01x3554609","A01",1.617615438,0.00518093201932857
"A01x3621755","A01",2.025785306,0.00437750633381029
"A01x3679842","A01",2.433744862,0.0113541246497562
"A01x3777620","A01",3.260652356,0.000132123929262207
"A01x3965850","A01",3.668611911,0.0286699319095476
"A01x4058373","A01",4.07678178,0.0224441599980594
"A01x4084209","A01",4.484741336,0.102127390628937
"A01x4089374","A01",5.311648831,0.113365067289237
"A01x4171301","A01",5.719398203,0.08639999454644
"A01x4278768","A01",6.546256998,0.00678010924173122
"A01x4345449","A01",6.546258048,0.00678003763738388
"A01x4397470","A01",7.801819651,0.00899818114038453
"A01x4462042","A01",7.801820701,0.00899826347102817
"A01x4585914","A01",8.209861661,0.033712746796084
"A01x4740822","A01",9.036555325,0.225732467039222
"A01x5199811","A01",9.863511904,0.238858852790173
"A01x4904430","A01",9.863512954,0.238858671763552
"A01x5019810","A01",10.27098318,0.214039887622903
"A01x5113626","A01",10.6785139,0.26549134613029
"A01x5293065","A01",11.52947396,0.199242111008743
"A01x5480608","A01",11.94945162,0.126662111953607
"A01x5687723","A01",12.36942888,0.111578553990341
"A01x5810657","A01",13.22116633,0.0243487674996175
"A01x5827724","A01",13.64070621,0.0151952390340568
"A01x5888829","A01",14.93468985,0.000124868718444304
"A01x5919321","A01",16.68324108,0.00535717615503017
"A01x5943430","A01",17.97722472,0.00123737806930535
"A01x5997366","A01",18.39698132,0.0596325775585171
"A01x6159390","A01",18.81710821,0.0554498856508303
"A01x6198147","A01",19.66909236,0.0229184479265712
"A01x6203833","A01",20.0892191,3.2861535515849e-05
"A01x6292908","A01",20.50956268,1.1047046314161e-05
"A01x6367043","A01",20.92990641,7.42288710284811e-05
"A01x6378372","A01",21.3501004,0.00147587453170672
"A01x6465169","A01",21.77007767,0.00038876622173234
"A01x6568062","A01",22.62181512,0.000819599405673443
"A01x6758563","A01",23.04179238,0.0138219588890536
"A01x6889347","A01",23.46198645,0.0764389866920681
"A01x6941758","A01",23.88218052,0.241871179592465
"A01x7228007","A01",24.30237459,2.85878740875501
"A01x7382304","A01",24.72256866,2.84403095814943
"A01x7489607","A01",25.14276273,3.038866343846
"A01x7657237","A01",25.56296907,3.6789040645877
"A01x7722631","A01",25.97113287,4.04419927476582
"A01x7876881","A01",26.37927965,4.52628258633044
"A01x7975940","A01",26.83321867,4.36252341995186
"A01x8029418","A01",27.28663362,4.02868108672661
"A01x8047577","A01",28.69036822,5.04705208225138
"A01x8057967","A01",29.14378319,5.12400999416514
"A01x8186237","A01",29.59767357,4.8925841564342
"A01x8348377","A01",30.05156394,4.935912875593
"A01x8409488","A01",30.50529205,4.50374548591515
"A01x8479578","A01",31.33196221,5.06353335521879
