"chr","pos","lod"
"A01x3323536","A01",0,1.46459879363644
"A01x3444783","A01",0.382748282,1.71895060424646
"A01x3521294","A01",1.209655882,1.41411329396342
"A01x3554609","A01",1.617615438,1.41411357468903
"A01x3621755","A01",2.025785306,1.5916835089842
"A01x3679842","A01",2.433744862,1.59023548537473
"A01x3777620","A01",3.260652356,1.47152241352319
"A01x3965850","A01",3.668611911,1.89824106362875
"A01x4058373","A01",4.07678178,1.88531954639441
"A01x4084209","A01",4.484741336,1.77912953798946
"A01x4089374","A01",5.311648831,1.72150495573948
"A01x4171301","A01",5.719398203,1.77126429981868
"A01x4278768","A01",6.546256998,0.986144371125761
"A01x4345449","A01",6.546258048,0.986144371005878
"A01x4397470","A01",7.801819651,1.06645854379008
"A01x4462042","A01",7.801820701,1.06645730604049
"A01x4585914","A01",8.209861661,0.7871050559759
"A01x4740822","A01",9.036555325,0.795188452041458
"A01x5199811","A01",9.863511904,0.698995393796082
"A01x4904430","A01",9.863512954,0.698995181332776
"A01x5019810","A01",10.27098318,0.718552774288554
"A01x5113626","A01",10.6785139,0.779646522153257
"A01x5293065","A01",11.52947396,1.07123089367769
"A01x5480608","A01",11.94945162,1.55642051595399
"A01x5687723","A01",12.36942888,1.53762678426253
"A01x5810657","A01",13.22116633,1.34937728898097
"A01x5827724","A01",13.64070621,1.3973796962475
"A01x5888829","A01",14.93468985,1.75855387809105
"A01x5919321","A01",16.68324108,1.68211678377097
"A01x5943430","A01",17.97722472,1.465802561294
"A01x5997366","A01",18.39698132,2.11312524508264
"A01x6159390","A01",18.81710821,2.25212107750843
"A01x6198147","A01",19.66909236,1.97514514728113
"A01x6203833","A01",20.0892191,1.9868939787616
"A01x6292908","A01",20.50956268,1.9414880776809
"A01x6367043","A01",20.92990641,2.15093351158865
"A01x6378372","A01",21.3501004,2.19241586473572
"A01x6465169","A01",21.77007767,2.32311469497972
"A01x6568062","A01",22.62181512,2.72876177611028
"A01x6758563","A01",23.04179238,3.29293993443008
"A01x6889347","A01",23.46198645,3.30442743008419
"A01x6941758","A01",23.88218052,3.77585803326278
"A01x7228007","A01",24.30237459,2.90419535029102
"A01x7382304","A01",24.72256866,2.90177655316668
"A01x7489607","A01",25.14276273,2.9673981051256
"A01x7657237","A01",25.56296907,3.08048965673197
"A01x7722631","A01",25.97113287,3.97563580206887
"A01x7876881","A01",26.37927965,3.60905412822115
"A01x7975940","A01",26.83321867,3.03796137893468
"A01x8029418","A01",27.28663362,3.03226963649706
"A01x8047577","A01",28.69036822,3.60061299594838
"A01x8057967","A01",29.14378319,3.81643498711082
"A01x8186237","A01",29.59767357,3.68544347518898
"A01x8348377","A01",30.05156394,3.91221474292203
"A01x8409488","A01",30.50529205,3.66699211834083
"A01x8479578","A01",31.33196221,3.66178437701001
"A01x8682528","A01",32.15844197,3.73827429203806
"A01x9014557","A01",32.9851356,4.12779675436556
"A01x9047566","A01",33.39309516,4.01862017937452
"A01x9090747","A01",33.80126503,4.01861898018552
"A01x9141005","A01",34.2094349,4.1212729339245
"A01x9154927","A01",34.61760476,4.08769332674657
"A01x9187356","A01",35.02556432,3.80802510443701
"A01x9265177","A01",35.85247181,3.17894366830785
"A01x9281217","A01",36.26022106,3.02064656136909
"A01x9400632","A01",37.08712855,2.48845322203726
"A01x9478996","A01",37.49508811,2.16772185769554
"A01x9511676","A01",37.90325798,2.17645804939079
"A01x9621651","A01",38.31121753,2.25983699831613
"A01x9710442","A01",39.13812503,1.77806794024733
"A01x9787957","A01",39.54608458,1.72750889732808
"A01x9861110","A01",39.95425367,1.60126991068131
"A01x9927004","A01",40.36242354,1.60131121491864
"A01x10008696","A01",40.77059341,1.98159328019184
"A01x10040274","A01",41.17876249,2.1206167424736
"A01x10144579","A01",41.58693236,2.12061478131255
