"tx_id","tx_name","tx_chrom","tx_strand","tx_start","tx_end"
1,"Bra000001","A03","+",8794389,8797343
2,"Bra000002","A03","-",8797641,8800479
3,"Bra000003","A03","+",8811737,8813527
4,"Bra000004","A03","+",8816600,8817498
5,"Bra000005","A03","-",8818079,8820313
6,"Bra000006","A03","-",8820620,8821103
7,"Bra000007","A03","+",8823354,8824297
8,"Bra000008","A03","+",8829143,8830857
9,"Bra000009","A03","-",8832443,8836202
10,"Bra000010","A03","+",8839957,8842454
11,"Bra000011","A03","-",8842485,8844409
12,"Bra000012","A03","+",8855293,8857810
13,"Bra000013","A03","+",8861868,8866066
14,"Bra000014","A03","-",8865883,8869125
15,"Bra000015","A03","-",8871516,8873745
16,"Bra000016","A03","+",8884292,8886197
17,"Bra000017","A03","+",8887732,8888534
18,"Bra000018_Bra000019","A03","+",8889807,8896994
19,"Bra000020","A03","-",8897927,8898629
20,"Bra000021","A03","-",8900136,8901096
21,"Bra000022","A03","-",8903597,8904350
22,"Bra000023","A03","+",8907865,8911950
23,"Bra000024","A03","+",8912047,8914627
24,"Bra000025","A03","+",8916061,8916808
25,"Bra000026","A03","-",8916054,8919309
26,"Bra000027","A03","-",8920043,8923695
27,"Bra000028","A03","-",8926805,8927868
28,"Bra000029","A03","+",8929056,8932540
29,"Bra000030","A03","-",8932912,8934283
30,"Bra000031","A03","+",8939196,8939799
31,"Bra000032","A03","-",8939970,8940207
32,"Bra000033","A03","-",8941514,8945364
33,"Bra000034","A03","+",8950309,8952667
34,"Bra000035","A03","-",8958454,8962408
35,"Bra000036","A03","-",8966126,8967865
36,"Bra000037","A03","+",8968079,8971901
37,"Bra000038","A03","+",8981755,8984668
38,"Bra000039","A03","+",8989220,8993664
39,"Bra000040","A03","+",8996198,8996481
40,"Bra000041","A03","+",8999654,9001948
41,"Bra000042","A03","+",9004383,9006159
42,"Bra000043","A03","+",9007989,9010814
43,"Bra000044","A03","+",9013446,9019414
44,"Bra000045","A03","-",9021809,9024849
45,"Bra000046","A03","+",9038130,9039655
46,"Bra000047","A03","-",9042700,9044511
47,"Bra000048","A03","+",9046052,9049759
48,"Bra000049","A03","-",9051908,9052091
