"chr","pos","marker","biomass","height","leaf_length","period","leaf_area"
"A01x3323536","A01",0,"A01x3323536",0.00123857098695801,1.19468289199176e-05,1.46459879363644,0.106540952585121,0.0559230807768358
"A01x3444783","A01",0.382748282,"A01x3444783",0.00299207327941531,0.00370574028826809,1.71895060424646,0.0871310049281249,0.110804532050906
"A01x3521294","A01",1.209655882,"A01x3521294",2.07646538505912e-05,0.0112154822698187,1.41411329396342,0.168540771054154,0.0833564359352295
"A01x3554609","A01",1.617615438,"A01x3554609",0.0122154989870626,0.00518093201932857,1.41411357468903,0.0808397762902331,0.0607705294607399
"A01x3621755","A01",2.025785306,"A01x3621755",0.0141170559621138,0.00437750633381029,1.5916835089842,0.0838162898149761,0.0625448921147154
"A01x3679842","A01",2.433744862,"A01x3679842",0.0148368454906151,0.0113541246497562,1.59023548537473,0.0620924706223889,0.041972842547068
"A01x3777620","A01",3.260652356,"A01x3777620",0.0212580202810315,0.000132123929262207,1.47152241352319,0.0425682917590393,0.00461828000209152
"A01x3965850","A01",3.668611911,"A01x3965850",0.0155304110471324,0.0286699319095476,1.89824106362875,0.13629178143438,0.0843565286812122
"A01x4058373","A01",4.07678178,"A01x4058373",0.0258317989906125,0.0224441599980594,1.88531954639441,0.116710150818051,0.0744198273211509
"A01x4084209","A01",4.484741336,"A01x4084209",0.0232954211676404,0.102127390628937,1.77912953798946,0.0706378035919641,0.0550401889026375
"A01x4089374","A01",5.311648831,"A01x4089374",0.0171860654723126,0.113365067289237,1.72150495573948,0.0605644551148004,0.113035612175054
"A01x4171301","A01",5.719398203,"A01x4171301",0.0442104318996481,0.08639999454644,1.77126429981868,0.0998499752794118,0.13998190972228
"A01x4278768","A01",6.546256998,"A01x4278768",0.0235713214081414,0.00678010924173122,0.986144371125761,0.0060950551460337,0.0755613112899596
"A01x4345449","A01",6.546258048,"A01x4345449",0.0235713237291097,0.00678003763738388,0.986144371005878,0.0060950504797006,0.0755615065231723
"A01x4397470","A01",7.801819651,"A01x4397470",0.0433680022086076,0.00899818114038453,1.06645854379008,0.000196431022487786,0.0712677251610216
"A01x4462042","A01",7.801820701,"A01x4462042",0.043367689831042,0.00899826347102817,1.06645730604049,0.000196426177026865,0.0712671346346383
"A01x4585914","A01",8.209861661,"A01x4585914",0.0448239840333233,0.033712746796084,0.7871050559759,0.000850120509028329,0.0644660507605863
"A01x4740822","A01",9.036555325,"A01x4740822",0.0622531380450617,0.225732467039222,0.795188452041458,0.00629162238654146,0.0402513240117628
"A01x5199811","A01",9.863511904,"A01x5199811",0.133219179784135,0.238858852790173,0.698995393796082,0.000241396394699223,0.0438305580828455
"A01x4904430","A01",9.863512954,"A01x4904430",0.133219405091046,0.238858671763552,0.698995181332776,0.000241385588296339,0.043830723882138
"A01x5019810","A01",10.27098318,"A01x5019810",0.194625072002436,0.214039887622903,0.718552774288554,0.0144745357335978,0.055199200211689
"A01x5113626","A01",10.6785139,"A01x5113626",0.11804756281215,0.26549134613029,0.779646522153257,0.0491368091478819,0.0124871380982086
"A01x5293065","A01",11.52947396,"A01x5293065",0.071628188455243,0.199242111008743,1.07123089367769,0.0310883226977978,0.0104466122649001
"A01x5480608","A01",11.94945162,"A01x5480608",0.110982878391356,0.126662111953607,1.55642051595399,0.0625811566794994,0.0532138162449769
"A01x5687723","A01",12.36942888,"A01x5687723",0.114542810920216,0.111578553990341,1.53762678426253,0.0328255416733327,0.0502087320305691
"A01x5810657","A01",13.22116633,"A01x5810657",0.0988801110717734,0.0243487674996175,1.34937728898097,0.00452977547399769,0.0479623991324161
"A01x5827724","A01",13.64070621,"A01x5827724",0.156143681986018,0.0151952390340568,1.3973796962475,0.0333259647071742,0.061408154166827
"A01x5888829","A01",14.93468985,"A01x5888829",0.187651273230452,0.000124868718444304,1.75855387809105,0.128296170798464,0.0541046670577998
"A01x5919321","A01",16.68324108,"A01x5919321",0.200623100390331,0.00535717615503017,1.68211678377097,0.203413392779012,0.0752395478911012
"A01x5943430","A01",17.97722472,"A01x5943430",0.125091708178635,0.00123737806930535,1.465802561294,0.153540038282927,0.0101033954338163
"A01x5997366","A01",18.39698132,"A01x5997366",0.415976070409647,0.0596325775585171,2.11312524508264,0.108018107435143,0.0442329258055452
"A01x6159390","A01",18.81710821,"A01x6159390",0.333232253530905,0.0554498856508303,2.25212107750843,0.0583315640436837,0.0290618682352601
"A01x6198147","A01",19.66909236,"A01x6198147",0.128816858789701,0.0229184479265712,1.97514514728113,0.022245491093372,0.00254134100970305
"A01x6203833","A01",20.0892191,"A01x6203833",0.161909116854252,3.2861535515849e-05,1.9868939787616,0.0353043779931852,0.000286441021557948
"A01x6292908","A01",20.50956268,"A01x6292908",0.0794576594912471,1.1047046314161e-05,1.9414880776809,0.0530488261848205,0.0436836932365168
"A01x6367043","A01",20.92990641,"A01x6367043",0.126329443140422,7.42288710284811e-05,2.15093351158865,0.0802961679654857,0.000391513949864475
"A01x6378372","A01",21.3501004,"A01x6378372",0.102583668448059,0.00147587453170672,2.19241586473572,0.100546145334675,0.00173136277408048
"A01x6465169","A01",21.77007767,"A01x6465169",0.0856063509386171,0.00038876622173234,2.32311469497972,0.110697750704929,8.34955704931417e-06
"A01x6568062","A01",22.62181512,"A01x6568062",0.155164870639103,0.000819599405673443,2.72876177611028,0.213315128510374,0.0388942295676884
"A01x6758563","A01",23.04179238,"A01x6758563",0.283688270809339,0.0138219588890536,3.29293993443008,0.484117971834308,0.070922310895071
"A01x6889347","A01",23.46198645,"A01x6889347",0.371136292782602,0.0764389866920681,3.30442743008419,0.491486765394328,0.102679260249715
"A01x6941758","A01",23.88218052,"A01x6941758",0.351873130554035,0.241871179592465,3.77585803326278,0.776279365678079,0.0702791278614541
"A01x7228007","A01",24.30237459,"A01x7228007",0.193633566359379,2.85878740875501,2.90419535029102,0.710738446491959,0.0168456373431809
"A01x7382304","A01",24.72256866,"A01x7382304",0.191654272621205,2.84403095814943,2.90177655316668,0.784582164877961,0.034751043741835
"A01x7489607","A01",25.14276273,"A01x7489607",0.229038577220663,3.038866343846,2.9673981051256,0.882057367539346,0.0761271012582938
"A01x7657237","A01",25.56296907,"A01x7657237",0.269162003364359,3.6789040645877,3.08048965673197,0.972315448623633,0.107439350581558
"A01x7722631","A01",25.97113287,"A01x7722631",0.451615670368037,4.04419927476582,3.97563580206887,1.05511389341689,0.216575342544161
"A01x7876881","A01",26.37927965,"A01x7876881",0.563981270329178,4.52628258633044,3.60905412822115,0.867604310572389,0.307100051924692
"A01x7975940","A01",26.83321867,"A01x7975940",0.577640910690411,4.36252341995186,3.03796137893468,0.86925849343713,0.309772325842687
"A01x8029418","A01",27.28663362,"A01x8029418",0.516470681162399,4.02868108672661,3.03226963649706,0.803021111009215,0.271454971071023
"A01x8047577","A01",28.69036822,"A01x8047577",2.51325608970965,5.04705208225138,3.60061299594838,0.826725635536718,3.90375243935119
"A01x8057967","A01",29.14378319,"A01x8057967",2.64367088331975,5.12400999416514,3.81643498711082,0.572407157558359,4.06383232937958
"A01x8186237","A01",29.59767357,"A01x8186237",2.46874363496283,4.8925841564342,3.68544347518898,0.877711942261428,3.80098188429548
"A01x8348377","A01",30.05156394,"A01x8348377",2.70562816389674,4.935912875593,3.91221474292203,0.693710015891227,4.39552603432821
"A01x8409488","A01",30.50529205,"A01x8409488",2.57981521804012,4.50374548591515,3.66699211834083,0.702060356136499,4.22461838954075
"A01x8479578","A01",31.33196221,"A01x8479578",2.49644789282097,5.06353335521879,3.66178437701001,0.670183737612518,4.49784073670719
"A01x8682528","A01",32.15844197,"A01x8682528",2.49880297161883,4.50139709168866,3.73827429203806,0.470966632431271,4.69805018118007
"A01x9014557","A01",32.9851356,"A01x9014557",2.74254143949502,4.93240713113457,4.12779675436556,0.405718120981788,5.20611911903262
"A01x9047566","A01",33.39309516,"A01x9047566",2.5496778250618,5.18582656029156,4.01862017937452,0.316136730040768,4.64434607225121
"A01x9090747","A01",33.80126503,"A01x9090747",2.59453879776893,4.74427335253051,4.01861898018552,0.461094049508418,4.39197724275482
"A01x9141005","A01",34.2094349,"A01x9141005",2.39891302996194,1.59777948066048,4.1212729339245,0.504331430529703,4.19201256201222
"A01x9154927","A01",34.61760476,"A01x9154927",2.43955899842868,1.47036295996591,4.08769332674657,0.47078322334086,3.97568324507273
"A01x9187356","A01",35.02556432,"A01x9187356",2.39143894819975,1.49344575312691,3.80802510443701,0.522466539382592,3.73179809464932
"A01x9265177","A01",35.85247181,"A01x9265177",2.22128436812079,1.3743396220714,3.17894366830785,0.296204017948483,3.33669270317779
"A01x9281217","A01",36.26022106,"A01x9281217",2.15613772353176,1.4387217293656,3.02064656136909,0.31845941269296,3.50589166816559
"A01x9400632","A01",37.08712855,"A01x9400632",2.07786146595009,1.1877674331293,2.48845322203726,0.206220005437729,3.18083409099847
"A01x9478996","A01",37.49508811,"A01x9478996",1.96747414371806,1.37707996802322,2.16772185769554,0.096549407811068,3.14906658893165
"A01x9511676","A01",37.90325798,"A01x9511676",1.91813689907506,1.3243499274389,2.17645804939079,0.122134609822453,3.18330662181359
"A01x9621651","A01",38.31121753,"A01x9621651",0.134164582913717,1.32433034948667,2.25983699831613,0.122137792948095,0.00354936544522388
"A01x9710442","A01",39.13812503,"A01x9710442",0.129233436648715,0.956052975457794,1.77806794024733,0.105972604872562,0.013184791082665
"A01x9787957","A01",39.54608458,"A01x9787957",0.13611683207427,0.821407165290992,1.72750889732808,0.0569249439354564,0.0225861485264431
"A01x9861110","A01",39.95425367,"A01x9861110",0.103307174454704,0.81398338437026,1.60126991068131,0.0427935886909694,0.01679718791695
"A01x9927004","A01",40.36242354,"A01x9927004",0.0765011212398576,0.985989226468774,1.60131121491864,0.00814340351908527,0.0250730393942149
"A01x10008696","A01",40.77059341,"A01x10008696",0.0734459359292874,1.11176627222008,1.98159328019184,0.00687384915339351,0.0236988545334498
"A01x10040274","A01",41.17876249,"A01x10040274",0.0999714680700965,1.12108470167615,2.1206167424736,0.0130738107966977,0.0305754421234496
"A01x10144579","A01",41.58693236,"A01x10144579",0.103963995232021,0.961278963130127,2.12061478131255,0.00645742259881388,0.0688867131967754
"A01x10233513","A01",41.99510223,"A01x10233513",0.0369403981147745,0.754418857819303,1.95364570391993,0.0315530127569872,0.0445847686676757
"A01x10719350","A01",42.40327209,"A01x10719350",0.0398035601106006,0.653733488105047,1.84974095585292,0.00050119301890561,0.0681347541346327
"A01x10838067","A01",42.81144196,"A01x10838067",0.0414103057227688,0.55520497039231,1.48800591023519,0.000220476858544316,0.071492443770012
"A01x10963079","A01",43.21961183,"A01x10963079",0.0261684642975464,0.555245687415805,1.37103484557935,0.00214594637746757,0.0601951237209164
"A01x11244488","A01",43.62778169,"A01x11244488",0.0236462985036994,0.42179867195685,1.25321965931195,0.00466622021048124,0.0432771425932401
