"chr","pos","lod"
"A01x3323536","A01",0,0.00123857098695801
"A01x3444783","A01",0.382748282,0.00299207327941531
"A01x3521294","A01",1.209655882,2.07646538505912e-05
"A01x3554609","A01",1.617615438,0.0122154989870626
"A01x3621755","A01",2.025785306,0.0141170559621138
"A01x3679842","A01",2.433744862,0.0148368454906151
"A01x3777620","A01",3.260652356,0.0212580202810315
"A01x3965850","A01",3.668611911,0.0155304110471324
"A01x4058373","A01",4.07678178,0.0258317989906125
"A01x4084209","A01",4.484741336,0.0232954211676404
"A01x4089374","A01",5.311648831,0.0171860654723126
"A01x4171301","A01",5.719398203,0.0442104318996481
"A01x4278768","A01",6.546256998,0.0235713214081414
"A01x4345449","A01",6.546258048,0.0235713237291097
"A01x4397470","A01",7.801819651,0.0433680022086076
"A01x4462042","A01",7.801820701,0.043367689831042
"A01x4585914","A01",8.209861661,0.0448239840333233
"A01x4740822","A01",9.036555325,0.0622531380450617
"A01x5199811","A01",9.863511904,0.133219179784135
"A01x4904430","A01",9.863512954,0.133219405091046
"A01x5019810","A01",10.27098318,0.194625072002436
"A01x5113626","A01",10.6785139,0.11804756281215
"A01x5293065","A01",11.52947396,0.071628188455243
"A01x5480608","A01",11.94945162,0.110982878391356
"A01x5687723","A01",12.36942888,0.114542810920216
"A01x5810657","A01",13.22116633,0.0988801110717734
"A01x5827724","A01",13.64070621,0.156143681986018
"A01x5888829","A01",14.93468985,0.187651273230452
"A01x5919321","A01",16.68324108,0.200623100390331
"A01x5943430","A01",17.97722472,0.125091708178635
"A01x5997366","A01",18.39698132,0.415976070409647
"A01x6159390","A01",18.81710821,0.333232253530905
"A01x6198147","A01",19.66909236,0.128816858789701
"A01x6203833","A01",20.0892191,0.161909116854252
"A01x6292908","A01",20.50956268,0.0794576594912471
"A01x6367043","A01",20.92990641,0.126329443140422
"A01x6378372","A01",21.3501004,0.102583668448059
"A01x6465169","A01",21.77007767,0.0856063509386171
"A01x6568062","A01",22.62181512,0.155164870639103
"A01x6758563","A01",23.04179238,0.283688270809339
"A01x6889347","A01",23.46198645,0.371136292782602
"A01x6941758","A01",23.88218052,0.351873130554035
"A01x7228007","A01",24.30237459,0.193633566359379
"A01x7382304","A01",24.72256866,0.191654272621205
"A01x7489607","A01",25.14276273,0.229038577220663
"A01x7657237","A01",25.56296907,0.269162003364359
"A01x7722631","A01",25.97113287,0.451615670368037
"A01x7876881","A01",26.37927965,0.563981270329178
"A01x7975940","A01",26.83321867,0.577640910690411
"A01x8029418","A01",27.28663362,0.516470681162399
"A01x8047577","A01",28.69036822,2.51325608970965
"A01x8057967","A01",29.14378319,2.64367088331975
"A01x8186237","A01",29.59767357,2.46874363496283
"A01x8348377","A01",30.05156394,2.70562816389674
"A01x8409488","A01",30.50529205,2.57981521804012
"A01x8479578","A01",31.33196221,2.49644789282097
"A01x8682528","A01",32.15844197,2.49880297161883
"A01x9014557","A01",32.9851356,2.74254143949502
"A01x9047566","A01",33.39309516,2.5496778250618
"A01x9090747","A01",33.80126503,2.59453879776893
"A01x9141005","A01",34.2094349,2.39891302996194
"A01x9154927","A01",34.61760476,2.43955899842868
"A01x9187356","A01",35.02556432,2.39143894819975
"A01x9265177","A01",35.85247181,2.22128436812079
"A01x9281217","A01",36.26022106,2.15613772353176
"A01x9400632","A01",37.08712855,2.07786146595009
"A01x9478996","A01",37.49508811,1.96747414371806
"A01x9511676","A01",37.90325798,1.91813689907506
"A01x9621651","A01",38.31121753,0.134164582913717
"A01x9710442","A01",39.13812503,0.129233436648715
"A01x9787957","A01",39.54608458,0.13611683207427
"A01x9861110","A01",39.95425367,0.103307174454704
"A01x9927004","A01",40.36242354,0.0765011212398576
"A01x10008696","A01",40.77059341,0.0734459359292874
"A01x10040274","A01",41.17876249,0.0999714680700965
"A01x10144579","A01",41.58693236,0.103963995232021
"A01x10233513","A01",41.99510223,0.0369403981147745
"A01x10719350","A01",42.40327209,0.0398035601106006
"A01x10838067","A01",42.81144196,0.0414103057227688
"A01x10963079","A01",43.21961183,0.0261684642975464
"A01x11244488","A01",43.62778169,0.0236462985036994
"A01x11526406","A01",44.03595156,1.15875996797854e-05
"A01x11665796","A01",44.44412143,0.00026902534689377
"A01x12003346","A01",44.85229129,0.000647291104330705
"A01x15217732","A01",45.26046116,0.0175981245279662
"A01x14683131","A01",45.66863103,0.0205217851293433
"A01x14360906","A01",46.0768009,0.000391348993607821
"A01x13378079","A01",46.48497076,0.0109677711927265
"A01x16742310","A01",46.89314063,0.00350034046692649
"A01x17028968","A01",47.30110019,0.00339654938438372
"A01x17440237","A01",48.12800768,7.91063121123869e-05
"A01x18051812","A01",48.53596724,9.52106866485281e-05
"A01x19020630","A01",48.94392679,0.00039647739802362
"A01x19421288","A01",49.77083429,0.000877559721111254
"A01x19476460","A01",50.17836974,0.00176036586491257
"A01x19922395","A01",51.4345758,0.102187113709267
"A01x20113692","A01",51.84211125,0.113536223123665
"A01x20145709","A01",52.66901882,0.0896092774119062
"A01x20481091","A01",53.07703167,0.0955771627542354
"A01x20319892","A01",53.07703272,0.0955772884088173
"A01x20606065","A01",53.90377593,0.0430033778339727
"A01x20778084","A01",54.31173567,0.0430088853037685
"A01x20884338","A01",54.71990554,0.141649671954886
"A01x20960512","A01",55.12807541,0.299472829302475
"A01x21149541","A01",55.53624509,0.18455196358221
"A01x21267732","A01",55.94441496,0.0934652000617167
"A01x21367330","A01",56.35194335,0.18827710246592
"A01x21881895","A01",58.04842997,0.374362736569584
"A01x21930925","A01",58.45595837,0.372436968741118
"A01x22004672","A01",58.86412824,0.347325992675978
"A01x22115541","A01",59.27187401,0.385575515333027
"A01x22156290","A01",60.52741645,0.239511465589773
"A01x22250566","A01",62.22345674,0.147292560071271
"A01x22496994","A01",62.63098514,0.152038524307438
"A01x22640794","A01",63.03915501,0.106462212079782
"A01x22648970","A01",63.44732488,0.129369115238513
"A01x22836582","A01",63.85528444,0.169661546707751
"A01x22974070","A01",64.68197825,0.126324699343595
"A01x23115892","A01",65.50850762,0.142976257836908
"A01x23485290","A01",65.50850867,0.142976513126664
"A01x23566033","A01",65.91652151,0.105519866934534
"A01x23678346","A01",66.74342908,0.393020416013149
"A01x23717804","A01",67.15117833,0.393961862144371
"A01x23862909","A01",67.97808582,0.350714692255263
"A01x23896183","A01",68.38583507,0.18815804370794
"A01x23987437","A01",69.21274256,0.210943553408672
"A01x24048223","A01",69.62070212,0.249195468850811
"A01x24070256","A01",70.02887199,0.201119027324003
"A01x24108220","A01",70.43572669,0.269461289388339
"A01x24231054","A01",73.52220028,0.447542784539504
"A01x24249266","A01",73.52220133,0.447543043052116
"A01x24274441","A01",73.93057007,0.391908655094996
"A01x24377050","A01",74.33873994,0.449239797197366
"A01x24454097","A01",74.74690981,0.449258790323144
"A01x24472434","A01",75.15507968,0.573985777753851
"A01x24532569","A01",75.56303923,0.5968854110347
"A01x24654771","A01",76.38994673,0.368284761341485
"A01x24765142","A01",76.79769597,0.520197287751856
"A01x24861483","A01",77.62460347,0.496020649159057
"A01x24934054","A01",78.03256302,0.85197549012396
"A01x24975652","A01",78.44073289,0.891689717107779
"A01x25021670","A01",78.84890276,0.795940390285443
"A01x25071323","A01",79.25643116,0.795947642267935
"A01x25154492","A01",80.95269655,1.49865527987039
"A01x25264441","A01",81.77895173,1.35583739109625
"A01x25358217","A01",82.18691129,1.05307496180321
"A01x25419156","A01",82.59508111,1.13504013698562
"A01x25453300","A01",83.00336171,1.00131575083071
"A01x25527815","A01",83.41121809,0.979961629546613
"A01x25689263","A01",84.66759925,0.748791960046599
"A01x25722607","A01",85.07534492,0.763900663609897
"A01x25764424","A01",85.48330449,0.716715985583084
"A01x25857251","A01",86.30977536,0.725867968438004
"A01x25928771","A01",87.57615406,0.352412038391535
"A01x25975189","A01",88.40951797,0.264188307317154
"A01x26027978","A01",88.82083523,0.247703970119559
"A01x26061276","A01",89.23236458,0.238500439193633
"A01x26133588","A01",89.64389393,0.290441466302738
"A01x26248761","A01",90.05542328,0.311402089092054
